iter	Passed	Remaining
614	1372	859
615	1374	856
616	1376	854
617	1378	851
618	1380	849
619	1382	847
620	1384	844
621	1386	842
622	1388	840
623	1390	837
624	1392	835
625	1394	833
626	1396	830
627	1398	828
628	1401	826
629	1403	824
630	1405	822
631	1407	819
632	1409	817
633	1411	814
634	1414	812
635	1416	810
636	1418	808
637	1420	805
638	1422	803
639	1424	801
640	1426	798
641	1428	796
642	1430	794
643	1432	791
644	1434	789
645	1436	787
646	1438	784
647	1440	782
648	1442	780
649	1444	777
650	1446	775
651	1447	772
652	1449	770
653	1452	768
654	1456	767
655	1458	764
656	1459	762
657	1461	759
658	1463	757
659	1464	754
660	1466	752
661	1468	749
662	1469	747
663	1471	744
664	1473	742
665	1475	739
666	1477	737
667	1478	735
668	1480	732
669	1482	730
670	1484	727
671	1486	725
672	1488	723
673	1489	720
674	1491	718
675	1493	715
676	1495	713
677	1498	711
678	1500	709
679	1502	706
680	1504	704
681	1505	702
682	1507	699
683	1511	698
684	1513	695
685	1514	693
686	1517	691
687	1519	689
688	1521	686
689	1523	684
690	1525	682
691	1527	679
692	1529	677
693	1532	675
694	1534	673
695	1536	670
696	1537	668
697	1539	666
698	1541	663
699	1543	661
700	1545	659
701	1547	656
702	1549	654
703	1551	652
704	1552	649
705	1553	646
706	1555	644
707	1556	642
708	1558	639
709	1560	637
710	1562	634
711	1563	632
712	1565	630
713	1567	627
714	1569	625
715	1571	623
716	1572	620
717	1574	618
718	1576	615
719	1577	613
720	1579	611
721	1582	609
722	1583	606
723	1585	604
724	1586	601
725	1588	599
726	1590	597
727	1592	594
728	1594	592
729	1595	590
730	1597	587
731	1599	585
732	1601	583
733	1602	580
734	1604	578
735	1606	576
736	1607	573
737	1609	571
738	1611	569
739	1613	566
740	1614	564
741	1616	562
742	1618	559
743	1620	557
744	1622	555
745	1624	553
746	1626	550
747	1627	548
748	1629	546
749	1631	543
750	1632	541
751	1634	539
752	1636	536
753	1638	534
754	1640	532
755	1641	529
756	1643	527
757	1645	525
758	1647	522
759	1648	520
760	1650	518
761	1652	516
762	1654	513
763	1656	511
764	1658	509
765	1659	506
766	1661	504
767	1662	502
768	1664	500
769	1666	497
770	1668	495
771	1670	493
772	1671	490
773	1673	488
774	1675	486
775	1676	484
776	1678	481
777	1680	479
778	1682	477
779	1684	475
780	1685	472
781	1687	470
782	1689	468
783	1691	465
784	1692	463
785	1694	461
786	1696	459
787	1697	456
788	1699	454
789	1701	452
790	1703	449
791	1704	447
792	1706	445
793	1708	443
794	1710	440
795	1711	438
796	1713	436
797	1715	434
798	1716	431
799	1718	429
800	1720	427
801	1723	425
802	1725	423
803	1727	421
804	1729	418
805	1731	416
806	1733	414
807	1734	412
808	1736	409
809	1738	407
810	1739	405
811	1741	403
812	1743	401
813	1745	398
814	1746	396
815	1748	394
816	1750	392
817	1751	389
818	1753	387
819	1755	385
820	1757	383
821	1759	380
822	1761	378
823	1762	376
824	1764	374
825	1766	372
826	1768	369
827	1769	367
828	1771	365
829	1773	363
830	1775	361
831	1777	358
832	1779	356
833	1781	354
834	1783	352
835	1784	350
836	1786	347
837	1788	345
838	1789	343
839	1791	341
840	1793	339
841	1795	336
842	1796	334
843	1798	332
844	1800	330
845	1802	328
846	1803	325
847	1805	323
848	1807	321
849	1809	319
850	1811	317
851	1813	314
852	1814	312
853	1816	310
854	1818	308
855	1820	306
856	1822	304
857	1824	301
858	1826	299
859	1828	297
860	1829	295
861	1831	293
862	1833	291
863	1835	288
864	1837	286
865	1838	284
866	1840	282
867	1842	280
868	1844	277
869	1845	275
870	1848	273
871	1849	271
872	1851	269
873	1853	267
874	1854	264
